name,price,url
Mandy,$29.95,https://www.glassesshop.com/eyeglasses/fz1090
Mandy,$29.95,https://www.glassesshop.com/eyeglasses/fz1089
Mandy,$29.95,https://www.glassesshop.com/eyeglasses/fz1087
Nicole,$19.95,https://www.glassesshop.com/eyeglasses/fz1083
Hillsborough,$19.95,https://www.glassesshop.com/eyeglasses/fp0989
Murphy,$39.95,https://www.glassesshop.com/eyeglasses/fp1746
Milne,$9.95,https://www.glassesshop.com/eyeglasses/fz1357
Baldwin,$19.95,https://www.glassesshop.com/eyeglasses/fp1619
Glendale,$24.95,https://www.glassesshop.com/eyeglasses/fp2121
Thomasville,$24.95,https://www.glassesshop.com/eyeglasses/fp1563
Poppy,$29.95,https://www.glassesshop.com/eyeglasses/fz1573
Annabelle,$24.95,https://www.glassesshop.com/eyeglasses/fp2086
Willie,$19.95,https://www.glassesshop.com/eyeglasses/sm0862
Labrador,$12.95,https://www.glassesshop.com/eyeglasses/fp1989
Joni,$29.95,https://www.glassesshop.com/eyeglasses/fp2023
Tiffen,$19.95,https://www.glassesshop.com/eyeglasses/fp1443
Omar,$19.95,https://www.glassesshop.com/eyeglasses/fm1271
Fresno,$12.95,https://www.glassesshop.com/eyeglasses/fp2039
Jerry,$24.95,https://www.glassesshop.com/eyeglasses/fp1593
Hyannis,$29.95,https://www.glassesshop.com/eyeglasses/fp1110
Flushing,$12.95,https://www.glassesshop.com/eyeglasses/fp1972
Genevieve,$34.95,https://www.glassesshop.com/eyeglasses/fz1269
Burke,$24.95,https://www.glassesshop.com/eyeglasses/fm1245
Salinas,$24.95,https://www.glassesshop.com/eyeglasses/fp2124
Libra,$24.95,https://www.glassesshop.com/eyeglasses/fp2047
Benjamin,$29.95,https://www.glassesshop.com/eyeglasses/fm1466
Prairie,$34.95,https://www.glassesshop.com/eyeglasses/fz1461
Taurus,$24.95,https://www.glassesshop.com/eyeglasses/fp2134
Haywood,$29.95,https://www.glassesshop.com/eyeglasses/fm1354
Gulfport,$19.95,https://www.glassesshop.com/eyeglasses/fp2108
Hayden,$24.95,https://www.glassesshop.com/eyeglasses/fp1237
Joplin,$24.95,https://www.glassesshop.com/eyeglasses/fz1491
Gulfport,$19.95,https://www.glassesshop.com/eyeglasses/fp2106
Riverside,$19.95,https://www.glassesshop.com/eyeglasses/fm1385
Martin,$29.95,https://www.glassesshop.com/eyeglasses/sm0795
Taurus,$24.95,https://www.glassesshop.com/eyeglasses/fp2071
Saxton,$39.95,https://www.glassesshop.com/eyeglasses/fm1499
Taurus,$24.95,https://www.glassesshop.com/eyeglasses/fp2043
Hume,$29.95,https://www.glassesshop.com/eyeglasses/fz1297
Willie,$19.95,https://www.glassesshop.com/eyeglasses/sm0860
Rochester,$29.95,https://www.glassesshop.com/eyeglasses/fm1263
Oberlin,$19.95,https://www.glassesshop.com/eyeglasses/fp2035
Oberlin,$19.95,https://www.glassesshop.com/eyeglasses/fp2034
Lyndon,$19.95,https://www.glassesshop.com/eyeglasses/fm1286
Bronx,$12.95,https://www.glassesshop.com/eyeglasses/fp1979
Oberlin,$19.95,https://www.glassesshop.com/eyeglasses/fp2033
Oberlin,$19.95,https://www.glassesshop.com/eyeglasses/fp2032
